,,,,,,,,,,,,
Current Position,,,,,,Return,,,,,,
Net original cost,Total shares,Current Price,Current Value,,,Capital Gain,Dividends,Currency,Total Gain,,
12008.05,137.00,122.890,16835.93,,,4827.88,1193.53,0.00,6021.41,,,
,,,,,,40.21%,9.94%,0.00%,50.14%,,,
,,,,,,,,,,,,
,,,,,,,Avg. Investment Period,,3.01,,,
,,,,,,,Total Return,,50.14%,,,
,,,,,,,CAGR,,14.47%,,,
,,,,,,,,,,,,
NYSE:JNJ - Johnson  Johnson,,,,,,,,,,,,
Ticker,Transaction Type,Ex date,Date,PriceAmount,Shares,Bought,Sold,Dividend,Years,,
NYSE:JNJ,Buy,,2017-07-07,132.540,7.00,927.78,,,3.01,,,
NYSE:JNJ,Dividend payment - Quarterly,2017-08-25,2017-09-12,0.840,7.00,,,5.880,,,,
NYSE:JNJ,Dividend payment - Quarterly,2017-11-27,2017-12-12,0.840,7.00,,,5.880,,,,
NYSE:JNJ,Dividend payment - Quarterly,2018-02-26,2018-03-13,0.840,7.00,,,5.880,,,,
NYSE:JNJ,Dividend payment - Quarterly,2018-05-25,2018-06-12,0.900,7.00,,,6.300,,,,
NYSE:JNJ,Dividend payment - Quarterly,2018-08-27,2018-09-11,0.900,7.00,,,6.300,,,,
NYSE:JNJ,Dividend payment - Quarterly,2018-11-26,2018-12-11,0.900,7.00,,,6.300,,,,
NYSE:JNJ,Dividend payment - Quarterly,2019-02-25,2019-03-12,0.900,7.00,,,6.300,,,,
NYSE:JNJ,Dividend payment - Quarterly,2019-05-24,2019-06-11,0.950,7.00,,,6.650,,,,
NYSE:JNJ,Dividend payment - Quarterly,2019-08-26,2019-09-10,0.950,7.00,,,6.650,,,,
NYSE:JNJ,Dividend payment - Quarterly,2019-11-25,2019-12-10,0.950,7.00,,,6.650,,,,
NYSE:JNJ,Dividend payment - Quarterly,2020-02-24,2020-03-10,0.950,7.00,,,6.650,,,,
NYSE:JNJ,Dividend payment - Quarterly,2020-05-22,2020-06-09,1.010,7.00,,,7.070,,,,
Totals,,,,,,927.78,0.00,76.51,3.01,,,
,,,,,,,,,,,,
Current Position,,,,,,Return,,,,,,
Net original cost,Total shares,Current Price,Current Value,,,Capital Gain,Dividends,Currency,Total Gain,,
927.78,7.00,143.270,1002.89,,,75.11,76.51,-0.00,151.62,,,
,,,,,,8.10%,8.25%,-0.00%,16.34%,,,
,,,,,,,,,,,,
,,,,,,,Avg. Investment Period,,3.01,,,
,,,,,,,Total Return,,16.34%,,,
,,,,,,,CAGR,,5.16%,,,
,,,,,,,,,,,,
NYSE:RH - RH,,,,,,,,,,,,
Ticker,Transaction Type,Ex date,Date,PriceAmount,Shares,Bought,Sold,Dividend,Years,,
NYSE:RH,Buy,,2017-07-07,62.630,42.00,2630.46,,,3.01,,,
Totals,,,,,,2630.46,0.00,0.00,3.01,,,
,,,,,,,,,,,,
Current Position,,,,,,Return,,,,,,
Net original cost,Total shares,Current Price,Current Value,,,Capital Gain,Dividends,Currency,Total Gain,,
2630.46,42.00,265.340,11144.28,,,8513.82,0.00,0.00,8513.82,,,
,,,,,,323.66%,0.00%,0.00%,323.66%,,,
,,,,,,,,,,,,
,,,,,,,Avg. Investment Period,,3.01,,,
,,,,,,,Total Return,,323.66%,,,
,,,,,,,CAGR,,61.60%,,,
,,,,,,,,,,,,
NYSE:T - ATT,,,,,,,,,,,,
Ticker,Transaction Type,Ex date,Date,PriceAmount,Shares,Bought,Sold,Dividend,Years,,
NYSE:T,Buy,,2017-07-07,36.980,24.00,887.52,,,3.01,,,
NYSE:T,Dividend payment - Quarterly,2017-10-06,2017-11-01,0.490,24.00,,,11.760,,,,
NYSE:T,Dividend payment - Quarterly,2018-01-09,2018-02-01,0.500,24.00,,,12.000,,,,
NYSE:T,Dividend payment - Quarterly,2018-04-09,2018-05-01,0.500,24.00,,,12.000,,,,
NYSE:T,Dividend payment - Quarterly,2018-07-09,2018-08-01,0.500,24.00,,,12.000,,,,
NYSE:T,Dividend payment - Quarterly,2018-10-09,2018-11-01,0.500,24.00,,,12.000,,,,
NYSE:T,Dividend payment - Quarterly,2019-01-09,2019-02-01,0.510,24.00,,,12.240,,,,
NYSE:T,Dividend payment - Quarterly,2019-04-09,2019-05-01,0.510,24.00,,,12.240,,,,
NYSE:T,Dividend payment - Quarterly,2019-07-09,2019-08-01,0.510,24.00,,,12.240,,,,
NYSE:T,Dividend payment - Quarterly,2019-10-09,2019-11-01,0.510,24.00,,,12.240,,,,
NYSE:T,Dividend payment - Quarterly,2020-01-09,2020-02-03,0.520,24.00,,,12.480,,,,
NYSE:T,Dividend payment - Quarterly,2020-04-08,2020-05-01,0.520,24.00,,,12.480,,,,
Totals,,,,,,887.52,0.00,133.68,3.01,,,
,,,,,,,,,,,,
Current Position,,,,,,Return,,,,,,
Net original cost,Total shares,Current Price,Current Value,,,Capital Gain,Dividends,Currency,Total Gain,,
887.52,24.00,30.460,731.04,,,-156.48,133.68,0.00,-22.80,,,
,,,,,,-17.63%,15.06%,0.00%,-2.57%,,,
,,,,,,,,,,,,
,,,,,,,Avg. Investment Period,,3.01,,,
,,,,,,,Total Return,,-2.57%,,,
,,,,,,,CAGR,,-0.86%,,,
,,,,,,,,,,,,
NYSE:WMT - Walmart,,,,,,,,,,,,
Ticker,Transaction Type,Ex date,Date,PriceAmount,Shares,Bought,Sold,Dividend,Years,,
NYSE:WMT,Buy,,2017-07-07,75.330,26.00,1958.58,,,3.01,,,
NYSE:WMT,Dividend payment - Quarterly,2017-08-09,2017-09-05,0.510,26.00,,,13.260,,,,
NYSE:WMT,Dividend payment - Quarterly,2017-12-07,2018-01-02,0.510,26.00,,,13.260,,,,
NYSE:WMT,Dividend payment - Quarterly,2018-03-08,2018-04-02,0.520,26.00,,,13.520,,,,
NYSE:WMT,Dividend payment - Quarterly,2018-05-10,2018-06-04,0.520,26.00,,,13.520,,,,
NYSE:WMT,Dividend payment - Quarterly,2018-08-09,2018-09-04,0.520,26.00,,,13.520,,,,
NYSE:WMT,Dividend payment - Quarterly,2018-12-06,2019-01-02,0.520,26.00,,,13.520,,,,
NYSE:WMT,Dividend payment - Quarterly,2019-03-14,2019-04-01,0.530,26.00,,,13.780,,,,
NYSE:WMT,Dividend payment - Quarterly,2019-05-09,2019-06-03,0.530,26.00,,,13.780,,,,
NYSE:WMT,Dividend payment - Quarterly,2019-08-08,2019-09-03,0.530,26.00,,,13.780,,,,
NYSE:WMT,Dividend payment - Quarterly,2019-12-05,2020-01-02,0.530,26.00,,,13.780,,,,
NYSE:WMT,Dividend payment - Quarterly,2020-03-19,2020-04-06,0.540,26.00,,,14.040,,,,
NYSE:WMT,Dividend payment - Quarterly,2020-05-07,2020-06-01,0.540,26.00,,,14.040,,,,
Totals,,,,,,1958.58,0.00,163.80,3.01,,,
,,,,,,,,,,,,
Current Position,,,,,,Return,,,,,,
Net original cost,Total shares,Current Price,Current Value,,,Capital Gain,Dividends,Currency,Total Gain,,
1958.58,26.00,124.440,3235.44,,,1276.86,163.80,-0.00,1440.66,,,
,,,,,,65.19%,8.36%,-0.00%,73.56%,,,
,,,,,,,,,,,,
,,,,,,,Avg. Investment Period,,3.01,,,
,,,,,,,Total Return,,73.56%,,,
,,,,,,,CAGR,,20.11%,,,
,,,,,,,,,,,,
NYSE:KMB - Kimberly-Clark,,,,,,,,,,,,
Ticker,Transaction Type,Ex date,Date,PriceAmount,Shares,Bought,Sold,Dividend,Years,,
NYSE:KMB,Buy,,2017-07-07,126.800,35.00,4438.00,,,3.01,,,
NYSE:KMB,Dividend payment - Quarterly,2017-09-07,2017-10-03,0.970,35.00,,,33.950,,,,
NYSE:KMB,Dividend payment - Quarterly,2017-12-07,2018-01-03,0.970,35.00,,,33.950,,,,
NYSE:KMB,Dividend payment - Quarterly,2018-03-08,2018-04-03,1.000,35.00,,,35.000,,,,
NYSE:KMB,Dividend payment - Quarterly,2018-06-07,2018-07-03,1.000,35.00,,,35.000,,,,
NYSE:KMB,Dividend payment - Quarterly,2018-09-06,2018-10-02,1.000,35.00,,,35.000,,,,
NYSE:KMB,Dividend payment - Quarterly,2018-12-06,2019-01-03,1.000,35.00,,,35.000,,,,
NYSE:KMB,Dividend payment - Quarterly,2019-03-07,2019-04-02,1.030,35.00,,,36.050,,,,
NYSE:KMB,Dividend payment - Quarterly,2019-06-06,2019-07-02,1.030,35.00,,,36.050,,,,
NYSE:KMB,Dividend payment - Quarterly,2019-09-05,2019-10-02,1.030,35.00,,,36.050,,,,
NYSE:KMB,Dividend payment - Quarterly,2019-12-05,2020-01-03,1.030,35.00,,,36.050,,,,
NYSE:KMB,Dividend payment - Quarterly,2020-03-05,2020-04-02,1.070,35.00,,,37.450,,,,
NYSE:KMB,Dividend payment - Quarterly,2020-06-04,2020-07-02,1.070,35.00,,,37.450,,,,
Totals,,,,,,4438.00,0.00,427.00,3.01,,,
,,,,,,,,,,,,
Current Position,,,,,,Return,,,,,,
Net original cost,Total shares,Current Price,Current Value,,,Capital Gain,Dividends,Currency,Total Gain,,
4438.00,35.00,143.350,5017.25,,,579.25,427.00,0.00,1006.25,,,
,,,,,,13.05%,9.62%,0.00%,22.67%,,,
,,,,,,,,,,,,
,,,,,,,Avg. Investment Period,,3.01,,,
,,,,,,,Total Return,,22.67%,,,
,,,,,,,CAGR,,7.03%,,,
,,,,,,,,,,,,
NYSE:GIS - General Mills,,,,,,,,,,,,
Ticker,Transaction Type,Ex date,Date,PriceAmount,Shares,Bought,Sold,Dividend,Years,,
NYSE:GIS,Buy,,2017-07-07,53.630,8.00,429.04,,,3.01,,,
NYSE:GIS,Dividend payment - Quarterly,2017-10-06,2017-11-01,0.490,8.00,,,3.920,,,,
NYSE:GIS,Dividend payment - Quarterly,2018-01-09,2018-02-01,0.490,8.00,,,3.920,,,,
NYSE:GIS,Dividend payment - Quarterly,2018-04-09,2018-05-01,0.490,8.00,,,3.920,,,,
NYSE:GIS,Dividend payment - Quarterly,2018-07-09,2018-08-01,0.490,8.00,,,3.920,,,,
NYSE:GIS,Dividend payment - Quarterly,2018-10-09,2018-11-01,0.490,8.00,,,3.920,,,,
NYSE:GIS,Dividend payment - Quarterly,2019-01-09,2019-02-01,0.490,8.00,,,3.920,,,,
NYSE:GIS,Dividend payment - Quarterly,2019-04-09,2019-05-01,0.490,8.00,,,3.920,,,,
NYSE:GIS,Dividend payment - Quarterly,2019-07-09,2019-08-01,0.490,8.00,,,3.920,,,,
NYSE:GIS,Dividend payment - Quarterly,2019-10-09,2019-11-01,0.490,8.00,,,3.920,,,,
NYSE:GIS,Dividend payment - Quarterly,2020-01-09,2020-02-03,0.490,8.00,,,3.920,,,,
NYSE:GIS,Dividend payment - Quarterly,2020-04-08,2020-05-01,0.490,8.00,,,3.920,,,,
Totals,,,,,,429.04,0.00,43.12,3.01,,,
,,,,,,,,,,,,
Current Position,,,,,,Return,,,,,,
Net original cost,Total shares,Current Price,Current Value,,,Capital Gain,Dividends,Currency,Total Gain,,
429.04,8.00,62.940,503.52,,,74.48,43.12,0.00,117.60,,,
,,,,,,17.36%,10.05%,0.00%,27.41%,,,
,,,,,,,,,,,,
,,,,,,,Avg. Investment Period,,3.01,,,
,,,,,,,Total Return,,27.41%,,,
,,,,,,,CAGR,,8.39%,,,
,,,,,,,,,,,,
NasdaqGS:NVDA - NVIDIA,,,,,,,,,,,,
Ticker,Transaction Type,Ex date,Date,PriceAmount,Shares,Bought,Sold,Dividend,Years,,
NasdaqGS:NVDA,Buy,,2017-07-07,146.760,6.00,880.56,,,3.01,,,
NasdaqGS:NVDA,Dividend payment - Quarterly,2017-08-22,2017-09-18,0.140,6.00,,,0.840,,,,
NasdaqGS:NVDA,Dividend payment - Quarterly,2017-11-22,2017-12-15,0.150,6.00,,,0.900,,,,
NasdaqGS:NVDA,Dividend payment - Quarterly,2018-02-22,2018-03-16,0.150,6.00,,,0.900,,,,
NasdaqGS:NVDA,Dividend payment - Quarterly,2018-05-23,2018-06-15,0.150,6.00,,,0.900,,,,
NasdaqGS:NVDA,Dividend payment - Quarterly,2018-08-29,2018-09-21,0.150,6.00,,,0.900,,,,
NasdaqGS:NVDA,Dividend payment - Quarterly,2018-11-29,2018-12-21,0.160,6.00,,,0.960,,,,
NasdaqGS:NVDA,Dividend payment - Quarterly,2019-02-28,2019-03-22,0.160,6.00,,,0.960,,,,
NasdaqGS:NVDA,Dividend payment - Quarterly,2019-05-30,2019-06-21,0.160,6.00,,,0.960,,,,
NasdaqGS:NVDA,Dividend payment - Quarterly,2019-08-28,2019-09-20,0.160,6.00,,,0.960,,,,
NasdaqGS:NVDA,Dividend payment - Quarterly,2019-11-27,2019-12-20,0.160,6.00,,,0.960,,,,
NasdaqGS:NVDA,Dividend payment - Quarterly,2020-02-27,2020-03-20,0.160,6.00,,,0.960,,,,
NasdaqGS:NVDA,Dividend payment - Quarterly,2020-06-04,2020-06-26,0.160,6.00,,,0.960,,,,
Totals,,,,,,880.56,0.00,11.16,3.01,,,
,,,,,,,,,,,,
Current Position,,,,,,Return,,,,,,
Net original cost,Total shares,Current Price,Current Value,,,Capital Gain,Dividends,Currency,Total Gain,,
880.56,6.00,408.640,2451.84,,,1571.28,11.16,-0.00,1582.44,,,
,,,,,,178.44%,1.27%,-0.00%,179.71%,,,
,,,,,,,,,,,,
,,,,,,,Avg. Investment Period,,3.01,,,
,,,,,,,Total Return,,179.71%,,,
,,,,,,,CAGR,,40.77%,,,
,,,,,,,,,,,,
