NYSE:T,Buy,,2020-04-09,30.730,24.00,737.52,,,0.25,,,
Totals,,,,,,737.52,0.00,0.00,0.25,,,
,,,,,,,,,,,,
Current Position,,,,,,Return,,,,,,
Net original cost,Total shares,Current Price,Current Value,,,Capital Gain,Dividends,Currency,Total Gain,,
737.52,24.00,30.460,731.04,,,-6.48,0.00,0.00,-6.48,,,
,,,,,,-0.88%,0.00%,0.00%,-0.88%,,,
,,,,,,,,,,,,
,,,,,,,Avg. Investment Period,,0.25,,,
,,,,,,,Total Return,,-0.88%,,,
,,,,,,,CAGR,,-0.88%,,,
,,,,,,,,,,,,
NYSE:WMT - Walmart,,,,,,,,,,,,
Ticker,Transaction Type,Ex date,Date,PriceAmount,Shares,Bought,Sold,Dividend,Years,,
NYSE:WMT,Buy,,2020-04-09,121.800,26.00,3166.80,,,0.25,,,
NYSE:WMT,Dividend payment - Quarterly,2020-05-07,2020-06-01,0.540,26.00,,,14.040,,,,
Totals,,,,,,3166.80,0.00,14.04,0.25,,,
,,,,,,,,,,,,
Current Position,,,,,,Return,,,,,,
Net original cost,Total shares,Current Price,Current Value,,,Capital Gain,Dividends,Currency,Total Gain,,
3166.80,26.00,124.440,3235.44,,,68.64,14.04,-0.00,82.68,,,
,,,,,,2.17%,0.44%,-0.00%,2.61%,,,
,,,,,,,,,,,,
,,,,,,,Avg. Investment Period,,0.25,,,
,,,,,,,Total Return,,2.61%,,,
,,,,,,,CAGR,,2.61%,,,
,,,,,,,,,,,,
NYSE:KMB - Kimberly-Clark,,,,,,,,,,,,
Ticker,Transaction Type,Ex date,Date,PriceAmount,Shares,Bought,Sold,Dividend,Years,,
NYSE:KMB,Buy,,2020-04-09,131.490,35.00,4602.15,,,0.25,,,
NYSE:KMB,Dividend payment - Quarterly,2020-06-04,2020-07-02,1.070,35.00,,,37.450,,,,
Totals,,,,,,4602.15,0.00,37.45,0.25,,,
,,,,,,,,,,,,
Current Position,,,,,,Return,,,,,,
Net original cost,Total shares,Current Price,Current Value,,,Capital Gain,Dividends,Currency,Total Gain,,
4602.15,35.00,143.350,5017.25,,,415.10,37.45,0.00,452.55,,,
,,,,,,9.02%,0.81%,0.00%,9.83%,,,
,,,,,,,,,,,,
,,,,,,,Avg. Investment Period,,0.25,,,
,,,,,,,Total Return,,9.83%,,,
,,,,,,,CAGR,,9.83%,,,
,,,,,,,,,,,,
NYSE:GIS - General Mills,,,,,,,,,,,,
Ticker,Transaction Type,Ex date,Date,PriceAmount,Shares,Bought,Sold,Dividend,Years,,
NYSE:GIS,Buy,,2020-04-09,57.400,8.00,459.20,,,0.25,,,
Totals,,,,,,459.20,0.00,0.00,0.25,,,
,,,,,,,,,,,,
Current Position,,,,,,Return,,,,,,
Net original cost,Total shares,Current Price,Current Value,,,Capital Gain,Dividends,Currency,Total Gain,,
459.20,8.00,62.940,503.52,,,44.32,0.00,0.00,44.32,,,
,,,,,,9.65%,0.00%,0.00%,9.65%,,,
,,,,,,,,,,,,
,,,,,,,Avg. Investment Period,,0.25,,,
,,,,,,,Total Return,,9.65%,,,
,,,,,,,CAGR,,9.65%,,,
,,,,,,,,,,,,
NasdaqGS:NVDA - NVIDIA,,,,,,,,,,,,
Ticker,Transaction Type,Ex date,Date,PriceAmount,Shares,Bought,Sold,Dividend,Years,,
NasdaqGS:NVDA,Buy,,2020-04-09,262.950,6.00,1577.70,,,0.25,,,
NasdaqGS:NVDA,Dividend payment - Quarterly,2020-06-04,2020-06-26,0.160,6.00,,,0.960,,,,
Totals,,,,,,1577.70,0.00,0.96,0.25,,,
,,,,,,,,,,,,
Current Position,,,,,,Return,,,,,,
Net original cost,Total shares,Current Price,Current Value,,,Capital Gain,Dividends,Currency,Total Gain,,
1577.70,6.00,408.640,2451.84,,,874.14,0.96,-0.00,875.10,,,
,,,,,,55.41%,0.06%,-0.00%,55.47%,,,
,,,,,,,,,,,,
,,,,,,,Avg. Investment Period,,0.25,,,
,,,,,,,Total Return,,55.47%,,,
,,,,,,,CAGR,,55.47%,,,
,,,,,,,,,,,,
